Continent,Country,GII Category,Id (copy),Index,UNDP Developing Regions,X,Y,0,1,100,GII 2021,GII Final,GII Rank (2021),Size,World Avg
Asia,Afghanistan,Very High,Afghanistan,0,South Asia,1003.692466932,214.198981338,0,1,100,0.678,67.8,167,34262840,46.5
Africa,Angola,High,Angola,1,Sub-Saharan Africa,832.086514525,148.769954152,0,1,100,0.537,53.7,136,33086278,46.5
Europe,Albania,Very Low,Albania,2,Europe and Central Asia,321.450823251,243.359386052,0,1,100,0.144,14.4,39,2761785,46.5
Asia,United Arab Emirates,Very Low,United Arab Emirates,3,Middle East & North Africa,195.269335285,283.550512669,0,1,100,0.049,4.9,11,9282410,46.5
America,Argentina,Low,Argentina,4,Americas,507.216641421,256.331783360,0,1,100,0.287,28.7,69,46654581,46.5
Asia,Armenia,Low,Armenia,5,Europe and Central Asia,417.044569532,154.645659230,0,1,100,0.216,21.6,53,2981200,46.5
Oceania,Australia,Very Low,Australia,6,East Asia & Pacific,232.692750146,342.058424646,0,1,100,0.073,7.3,19,26825500,46.5
Europe,Austria,Very Low,Austria,7,Europe and Central Asia,204.163214187,209.243708209,0,1,100,0.053,5.3,12,9129652,46.5
Asia,Azerbaijan,Low,Azerbaijan,8,Europe and Central Asia,510.852743926,230.482066633,0,1,100,0.294,29.4,70,10151517,46.5
Africa,Burundi,High,Burundi,9,Sub-Saharan Africa,783.469532170,371.869164358,0,1,100,0.505,50.5,127,12837740,46.5
Europe,Belgium,Very Low,Belgium,10,Europe and Central Asia,206.365352350,265.974849268,0,1,100,0.048,4.8,10,11772639,46.5
Africa,Benin,High,Benin,11,Sub-Saharan Africa,902.208850108,273.011374390,0,1,100,0.602,60.2,152,12606998,46.5
Africa,Burkina Faso,High,Burkina Faso,12,Sub-Saharan Africa,937.426116270,259.651300949,0,1,100,0.621,62.1,157,22185654,46.5
Asia,Bangladesh,High,Bangladesh,13,South Asia,822.699690420,209.717233387,0,1,100,0.53,53.0,131,169828911,46.5
Europe,Bulgaria,Low,Bulgaria,14,Europe and Central Asia,414.091781415,361.359506020,0,1,100,0.21,21.0,52,6447710,46.5
Asia,Bahrain,Low,Bahrain,15,Middle East & North Africa,385.925019468,148.430224558,0,1,100,0.181,18.1,46,1577059,46.5
America,Bahamas,Medium,Bahamas,16,Americas,560.576831654,266.582318400,0,1,100,0.329,32.9,78,397360,46.5
Europe,Bosnia and Herzegovina,Very Low,Bosnia and Herzegovina,17,Europe and Central Asia,315.420880256,258.467833686,0,1,100,0.136,13.6,38,3277082,46.5
Europe,Belarus,Very Low,Belarus,18,Europe and Central Asia,276.588582985,289.521836182,0,1,100,0.104,10.4,29,9200617,46.5
America,Belize,Medium,Belize,19,Americas,601.177556162,225.487350352,0,1,100,0.364,36.4,86,441471,46.5
