Branch,City,CM Orders,Current Month MTD,Customer type,Date,Gender,Invoice ID,Last 7 Days,Last N Days,Payment,PM Orders,Previous Month MTD,Product line,Rating Categories,Selected Date Filter,Tag Filter,Time,CM COGS,CM Gross Income,CM Quantity,CM Rating,CM Total,Cogs,Gross Income,Gross Margin Percentage,PM COGS,PM Gross Income,PM Quantity,PM Total,Quantity,Rating,Sort,Tax 5%,Total,Unit price,Year
A,Yangon,,False,Member,1/5/2019,Female,750-67-8428,False,False,Ewallet,,False,Health and beauty,Happy,False,True,12/30/1899 1:08:00 PM,,,,,,522.83,$26.1,4.761904762,,,,,7,9.1,548.9715,26.1415,$549.0,74.69,2019
C,Naypyitaw,226-31-3081,True,Normal,3/8/2019,Female,226-31-3081,False,False,Cash,,False,Electronic accessories,Happy,False,True,12/30/1899 10:29:00 AM,$76,$4,5.0,$96,$80,76.4,$3.8,4.761904762,,,,,5,9.6,80.22,3.82,$80.2,15.28,2019
A,Yangon,631-41-3108,True,Normal,3/3/2019,Male,631-41-3108,False,False,Credit card,,False,Home and lifestyle,Satisfied,False,True,12/30/1899 1:23:00 PM,$324,$16,7.0,$74,$341,324.31,$16.2,4.761904762,,,,,7,7.4,340.5255,16.2155,$340.5,46.33,2019
A,Yangon,,False,Member,1/27/2019,Male,123-19-1176,False,False,Ewallet,,False,Health and beauty,Satisfied,False,True,12/30/1899 8:33:00 PM,,,,,,465.76,$23.3,4.761904762,,,,,8,8.4,489.048,23.288,$489.0,58.22,2019
A,Yangon,,False,Normal,2/8/2019,Male,373-73-7910,False,False,Ewallet,373-73-7910,True,Sports and travel,Neutral,False,True,12/30/1899 10:37:00 AM,,,,,,604.17,$30.2,4.761904762,604.17,30.2085,7,634.3785,7,5.3,634.3785,30.2085,$634.4,86.31,2019
C,Naypyitaw,699-14-3026,True,Normal,3/25/2019,Male,699-14-3026,True,True,Ewallet,,False,Electronic accessories,Dissatisfied,False,True,12/30/1899 6:30:00 PM,$598,$30,7.0,$41,$628,597.73,$29.9,4.761904762,,,,,7,4.1,627.6165,29.8865,$627.6,85.39,2019
A,Yangon,,False,Member,2/25/2019,Female,355-53-5943,False,False,Ewallet,355-53-5943,True,Electronic accessories,Neutral,False,True,12/30/1899 2:36:00 PM,,,,,,413.04,$20.7,4.761904762,413.04,20.652,6,433.692,6,5.8,433.692,20.652,$433.7,68.84,2019
C,Naypyitaw,,False,Normal,2/24/2019,Female,315-22-5665,False,False,Ewallet,315-22-5665,True,Home and lifestyle,Satisfied,False,True,12/30/1899 11:38:00 AM,,,,,,735.6,$36.8,4.761904762,735.6,36.78,10,772.38,10,8,772.38,36.78,$772.4,73.56,2019
A,Yangon,,False,Member,1/10/2019,Female,665-32-9167,False,False,Credit card,,False,Health and beauty,Satisfied,False,True,12/30/1899 5:15:00 PM,,,,,,72.52,$3.6,4.761904762,,,,,2,7.2,76.146,3.626,$76.1,36.26,2019
B,Mandalay,,False,Member,2/20/2019,Female,692-92-5582,False,False,Credit card,692-92-5582,True,Food and beverages,Neutral,False,True,12/30/1899 1:27:00 PM,,,,,,164.52,$8.2,4.761904762,164.52,8.226,3,172.746,3,5.9,172.746,8.226,$172.7,54.84,2019
B,Mandalay,,False,Member,2/6/2019,Female,351-62-0822,False,False,Ewallet,351-62-0822,True,Fashion accessories,Dissatisfied,False,True,12/30/1899 6:07:00 PM,,,,,,57.92,$2.9,4.761904762,57.92,2.896,4,60.816,4,4.5,60.816,2.896,$60.8,14.48,2019
B,Mandalay,529-56-3974,True,Member,3/9/2019,Male,529-56-3974,False,False,Cash,,False,Electronic accessories,Neutral,False,True,12/30/1899 5:03:00 PM,$102,$5,4.0,$68,$107,102.04,$5.1,4.761904762,,,,,4,6.8,107.142,5.102,$107.1,25.51,2019
A,Yangon,,False,Normal,2/12/2019,Female,365-64-0515,False,False,Ewallet,365-64-0515,True,Electronic accessories,Satisfied,False,True,12/30/1899 10:25:00 AM,,,,,,234.75,$11.7,4.761904762,234.75,11.7375,5,246.4875,5,7.1,246.4875,11.7375,$246.5,46.95,2019
A,Yangon,,False,Normal,2/7/2019,Male,252-56-2699,False,False,Ewallet,252-56-2699,True,Food and beverages,Satisfied,False,True,12/30/1899 4:48:00 PM,,,,,,431.9,$21.6,4.761904762,431.9,21.595,10,453.495,10,8.2,453.495,21.595,$453.5,43.19,2019
A,Yangon,829-34-3910,True,Normal,3/29/2019,Female,829-34-3910,True,True,Cash,,False,Health and beauty,Neutral,False,True,12/30/1899 7:21:00 PM,$714,$36,10.0,$57,$749,713.8,$35.7,4.761904762,,,,,10,5.7,749.49,35.69,$749.5,71.38,2019
